,mss,sot,wmfcc,rms,precision,recall,f1,cents_dist,param_loss
fKSA_E2E_synth,252.89813874897203,0.1881345306572161,15.292864404373484,0.3283828991570026,0.0101081007115489,0.0102175697865353,0.0101407145930472,116.96158599853516,4.720089912414551
fKSA_xDet_synth,158.94861161081414,0.1876085769189031,9.285065809525475,0.9101686162167582,0.9393021346469624,0.8506527093596058,0.886942712459954,294.3865051269531,17.493831232974404
fKSA_E2E_synth_sgOnset,195.28795583624589,0.2708263734453602,10.918260791645128,0.8111280326699388,0.3070142309797482,0.309059934318555,0.3072617764250624,42.59904861450195,1.941419369296024
fKSA_E2E_synth_sgF0,251.78968007940995,0.2220831191853473,15.090272927437525,0.3628621532815747,0.0193965517241379,0.0194170771756978,0.0193769736011115,45.48833465576172,3.730722615593358
fKSA_E2E_synth_sgBoth,162.9969819721423,0.2052450168289636,8.147204455950959,0.9353486030266204,0.8292036124794745,0.8295484400656813,0.8293603522913867,12.693605422973633,0.5165159294479772
oKSA_E2E_synth,136.11001546759354,0.181464304265223,6.017757277471741,0.9640587686464704,0.9248481116584564,0.9248481116584564,0.9248481116584566,15.139463424682615,0.2940608772792314
tKSA_E2E_synth,241.1643435829564,0.1967073710341202,13.47380460797556,0.4251310189788949,0.0104556650246305,0.0102175697865353,0.0103272876548738,13.864316940307615,3.736185989881817
tKSA_xDet_synth,149.06645925421464,0.1638123569519896,9.227067561799112,0.9310866021904451,0.9393021346469624,0.8506527093596058,0.886942712459954,294.33087158203125,15.658246040344238
tKSA_E2E_synth_sgOnset,157.94983793559828,0.2036809068369238,8.185655294137572,0.9313143749689232,0.6401313628899836,0.6393472906403941,0.6396519955140646,13.154770851135254,0.8240908792144374
tKSA_E2E_synth_sgF0,245.7740607010691,0.1823899455760654,16.291420431248028,0.3832674785658868,0.0140106732348111,0.0135550082101806,0.0137444165030371,216.7601623535156,4.550949824483771
tKSA_E2E_synth_sgBoth,155.96209516023336,0.2340064597757239,7.588040660166858,0.9400300587045736,0.8352093596059114,0.8351272577996717,0.8351651509410131,14.259398460388184,0.4780591483178891
